smiles,name,id,atc,atc_name_1,atc_name_2,atc_name_3,atc_name_4,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CETIRIZINE,CHEMBL1000,R06AE;S01GX,RESPIRATORY SYSTEM;SENSORY ORGANS,ANTIHISTAMINES FOR SYSTEMIC USE;OPHTHALMOLOGICALS,ANTIHISTAMINES FOR SYSTEMIC USE;DECONGESTANTS AND ANTIALLERGICS,Piperazine derivatives;Other antiallergics,388.8950000000002,3.148200000000002,4,1,4.0,0.7038936958101741,1,53.010000000000005,0,1,0,0.02572968,0.7317446,0.7279633,0.012252323,0.057790406,0.09828214,0.031144882,0.15651591,0.5702528,0.2651646,0.00851554,0.25913435,0.26823515,0.105868384,0.91822803,0.003515095,0.023770688,0.0024141795,0.0046339342,0.01662707,0.11488904,0.00803434,0.3538451,0.078391515,0.053863533,0.00080446794,0.0025390857,0.009235682,0.00398531,0.55381024,0.5522189,-5.402419,23.18782,7.311906,0.8110529,-14.7797985,2.5494363,0.7829746,88.21438,-3.1043239,3.7709115
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,PENTAZOCINE,CHEMBL100116,N02AD,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Benzomorphan derivatives,285.43100000000004,3.8826000000000027,2,1,4.0,0.8335259245753123,3,23.47,0,1,0,0.06720642,0.9574982,0.53145444,0.2109658,0.350885,0.112162635,0.080536485,0.5381553,0.9006934,0.5135671,0.06552307,0.12219445,0.17800239,0.046211276,0.999502,0.002335277,0.0062716147,0.03086471,0.07321064,0.045562394,0.10890417,0.0058137,0.8734743,0.5446578,0.24047962,0.0012467436,0.054812353,0.38408753,0.014644593,0.81481266,0.91454124,-4.69193,87.44771,65.46684,2.7430966,-9.6919155,2.7151513,2.7550256,76.636345,-3.1638842,2.334882
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,LEVOSALBUTAMOL,CHEMBL1002,,,,,,239.315,1.3059999999999998,4,4,4.0,0.6389509580864461,1,72.72,0,0,0,0.039710887,0.28422254,0.6320747,0.017330414,0.012074907,0.017743424,0.004180793,0.35526088,0.0902013,0.07055471,0.0026410562,0.095377624,0.013087767,0.016510349,0.7924808,0.0032425106,0.029301098,0.009363512,0.004863355,0.017783111,0.07280427,0.00026838266,0.3227537,0.0051200646,0.025295377,0.000539236,0.0014315322,0.014992694,0.0013463034,0.61570203,0.17133954,-5.256131,26.22199,-1.5192817,5.2694197,-15.403015,2.3965297,-0.5638496,17.723055,-0.9788809,1.1872883
O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,CLAVULANATE POTASSIUM,CHEMBL1003,,,,,,199.16199999999998,-1.0956,4,2,4.0,0.5513115228370621,2,87.07000000000001,0,0,1,0.18790284,0.53118104,0.67390543,0.0014401313,0.012550871,0.078403786,0.0055477307,0.0056175278,0.0022834772,0.07765104,0.00017578765,0.18346013,0.10364558,0.6074421,0.39326486,0.008362047,0.028706029,0.0051259645,0.0009699531,0.0093658585,0.08106528,0.0032877277,0.01481274,0.0013089299,0.05003977,0.0056724795,0.003235956,0.00062873744,0.022009712,0.38502872,0.0072316355,-5.4410996,-12.193103,-24.63237,7.843675,-15.652095,2.0026443,-2.179971,35.74491,-0.5289569,-0.91952246
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,DOXYLAMINE,CHEMBL1004,R06AA,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Aminoalkyl ethers,270.37600000000003,2.923300000000001,3,0,4.0,0.8067475103694609,1,25.36,0,0,0,0.06798401,0.95332354,0.92973554,0.027184483,0.05823819,0.23111303,0.010375236,0.5532304,0.28757185,0.5591672,0.053157687,0.126829,0.222192,0.12863716,0.9998965,0.0011430398,0.010959983,0.0046456987,0.005313705,0.0038455601,0.033092577,0.0011176036,0.94863015,0.10521857,0.020192508,0.00027593548,0.0036145009,0.0068326714,0.0012009628,0.5737766,0.7444268,-4.4938974,55.638042,13.959073,9.127699,-9.309912,2.496881,0.6554767,39.937126,-1.379516,2.1089418
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,REMIFENTANIL,CHEMBL1005,N01AH,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Opioid anesthetics,376.4530000000002,2.0002999999999997,6,0,4.0,0.677733039239407,0,76.15,0,0,0,0.10087045,0.9417995,0.7671916,0.004633671,0.18733379,0.1460484,0.04199005,0.14317843,0.0901315,0.548849,0.14283118,0.104914404,0.19086286,0.19639602,0.99960756,0.008458732,0.021050755,0.0035770987,0.0061300946,0.006641467,0.045048364,0.0041135773,0.8849656,0.09165599,0.060418665,0.0018271584,0.0088478,0.0038531043,0.0063608647,0.52072346,0.49154806,-4.385665,99.50645,76.784256,-12.762524,-11.202295,2.3648696,1.057349,59.66662,-2.362583,-2.9047356
NCCCNCCSP(=O)(O)O,AMIFOSTINE,CHEMBL1006,V03AF,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Detoxifying agents for antineoplastic treatment,214.22699999999998,-0.2492999999999997,4,4,4.0,0.3446247204426618,0,95.58,0,2,1,0.09324616,0.40601784,0.29303426,0.00075649424,0.009110784,0.006160225,0.0027900776,0.06348418,0.013481948,0.01910389,0.00016312921,0.34418115,0.008261819,0.00737295,0.10286941,0.008946,0.016531166,0.002802196,0.0018230103,0.012479032,0.05710716,0.00039353018,0.039643496,0.0005181768,0.06590261,0.00042331085,0.0024535996,0.0010597507,0.0024159248,0.7616019,0.024760935,-6.0162406,-1.8122818,-11.558451,4.7548027,-17.574015,2.3589523,-1.163986,10.496755,0.12073231,1.156826
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL,CHEMBL1008,C08EA,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Phenylalkylamine derivatives,366.5490000000002,4.830200000000005,3,0,4.0,0.5988605961954666,1,15.71,0,0,0,0.14138308,0.9840676,0.5006847,0.049076967,0.36671415,0.12759659,0.10703925,0.52634984,0.9590812,0.62417144,0.31018013,0.14961895,0.40104955,0.07242836,0.99984914,0.0013680778,0.006285186,0.009660634,0.039602064,0.016958619,0.0718224,0.0035928898,0.91179734,0.9093075,0.20298222,0.00047947178,0.044906605,0.13675408,0.008613106,0.7894196,0.9847779,-4.756625,124.29342,106.800514,25.990274,-7.4827356,2.4421427,3.3443718,91.963936,-4.422756,6.245664
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,LEVODOPA,CHEMBL1009,N04BA,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Dopa and dopa derivatives,197.18999999999997,0.052200000000000135,4,4,4.0,0.5125069246930146,1,103.78000000000002,1,1,0,0.32309198,0.43233204,0.586716,0.023210112,0.0118730385,0.031796664,0.0090727825,0.06703041,0.014833858,0.105054535,0.0052486993,0.15513219,0.12520325,0.11845853,0.60556287,0.014180128,0.04295832,0.08098182,0.0030060648,0.018246043,0.059785586,0.0011273983,0.07844891,0.0022858253,0.044917982,0.007430234,0.004980221,0.0044418653,0.011626614,0.50621015,0.07243718,-6.2250204,13.42659,-4.220032,-15.607809,-20.71243,2.0541472,-1.2731693,38.5716,-1.2111244,-1.6485398
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,PHENYLBUTAZONE,CHEMBL101,M01AA;M02AA,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS;TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Butylpyrazolidines;Antiinflammatory preparations, non-steroids for topical use",308.3810000000001,3.7878000000000025,2,0,4.0,0.7885515763199019,0,40.620000000000005,1,1,0,0.23027709,0.8238705,0.8598564,0.24612176,0.59207046,0.42426577,0.50035596,0.081157945,0.010256683,0.5805943,0.14349551,0.15784553,0.040969506,0.92359495,0.9995974,0.011558721,0.03509276,0.10615313,0.062617026,0.04831648,0.2406384,0.15540458,0.877946,0.5143684,0.2806251,0.07672392,0.041531447,0.36398286,0.08898065,0.43141842,0.24506184,-4.4879518,34.677147,19.553467,0.8969698,-8.384474,2.590972,1.4414488,87.23462,-3.7816398,-3.4177918
