gene	expression
ABCA8	7.5528
ABI3BP	33.716
ACVR1B	17.2542
ADAM18	0.0
ADAMTS18	2.4829
ADAMTS20	0.0108
ADGRE1	2.9879
AGK	35.7413
AGXT	0.0805
ALG13	19.7334
ALMS1	2.8864
ALPK2	1.9921
APOC4-APOC2	0.3527
ASMTL	0.0
ATP8B1	7.0126
B4GALT5	65.11
BCL11A	0.7915
BLTP1	8.0501
BNC1	0.2188
BRAF	9.8858
BRINP3	0.0778
C16ORF46	0.9342
C17ORF99	0.0278
C1ORF185	0.0558
C8A	0.0766
CADPS	9.1544
CALCR	0.2934
CCDC85A	1.1009
CCDC93	12.5387
CD5	8.4441
CDC20B	0.0
CER1	0.0577
CLEC4F	0.1864
CLEC4M	0.068
CMTM2	0.2573
CNTN5	0.0216
COCH	1.0711
COL4A4	1.1039
CP	1.6508
CRAMP1	6.3488
CRYBG3	5.3631
CSHL1	0.0
CSMD1	0.2143
CUL9	6.7243
CYP27B1	0.8654
CYP2A13	0.0
CYP2D6	0.067
DCHS2	0.1093
DELEC1	8.0504
DERA	39.2236
DNAH17	0.1
DRC2	0.127
DRC7	0.0626
DSP	0.6002
EHBP1	22.1819
EPHA1	0.7956
ERCC8	9.2504
ERICH3	0.0
ERMN	1.0366
ESRRG	0.3806
EXPH5	0.132
EYS	0.056
FBN3	0.0529
FER1L6	0.0225
FGFRL1	3.7741
FHIP1B	12.4687
FIGLA	0.0
FUT9	0.0
GIMAP8	24.5956
GLI4	9.5024
GPC3	25.6785
GPR158	0.2957
GPRIN2	0.0
GRIN2A	0.0376
GRIN2C	0.1865
GRM3	0.031
GSDMA	1.4833
H2BW2	0.0
H3C2	1.8792
HEATR1	24.1324
HEATR9	0.0
HLCS	7.4547
HOXB6	4.1114
HUWE1	24.0743
HYDIN	0.0921
IL1RL2	0.6192
IL3RA	0.0
INAVA	1.2815
IPP	8.1982
IQGAP2	16.3877
IQGAP3	6.5229
KCNT2	0.6078
KIF2B	0.0
KIT	8.0728
KLRC1	1.1461
KRT40	0.0152
KRT83	0.0
LGALS8	22.5009
LILRA1	3.7588
LLGL2	1.4298
LPAL2	0.5086
LRP1B	0.0205
LRRC71	0.0885
LYPD2	0.1373
MAGI1	4.8223
MBL2	0.0281
MBOAT4	0.2843
MGAM	0.2125
MIIP	18.6404
MKRN3	3.155
MMP10	0.2435
MTHFR	13.1784
MTNR1A	0.0
MUC12	0.011
MUC16	0.0028
MUC17	0.0
MUC4	0.0305
MUC5B	0.0016
MUTYH	7.6468
MYH1	0.0114
MYLK	90.0733
MYO18B	0.0054
MYOM1	2.8371
NBAS	10.4833
NCKAP1L	47.2352
NEB	0.1562
NEBL	0.7855
NEDD1	17.9841
NEFM	0.0163
NLRP7	1.3266
NME8	0.3681
NPEPL1	32.478
NR4A3	1.6267
NSUN4	11.7804
NWD2	0.0348
OLFM4	0.1405
OR10P1	0.0
OR4K14	0.0
OR56A3	0.0
OR5D14	0.0
OR8B2	0.0
OR8G5	0.0
OTOG	0.0
OTOGL	0.1334
P2RX7	22.7965
PALM	17.7314
PCDHA10	0.0151
PCDHB11	0.5351
PDE7A	10.9678
PDGFRA	34.6747
PDILT	0.0
PEX6	7.5725
PGM2L1	3.8766
PHF3	16.5304
PIK3CA	11.6192
PKD1L2	0.895
PLA2R1	3.0883
PLCL2	9.7382
PLEKHG5	4.4895
PLEKHM2	38.9889
PLXNA4	1.4782
PODN	95.5901
POM121L2	0.0
PPBP	0.7634
PPP6R2	18.0244
PTK6	0.0636
PTPRK	10.6682
PTPRQ	0.0348
PUDP	14.8966
PYROXD2	3.9855
RBMXL2	0.0297
RET	0.4453
RGPD3	0.5979
RIPK1	33.1955
RNPC3	9.9429
RP1L1	0.1174
SAGE1	0.0
SAMD12	0.3571
SFTPD	0.0992
SLC27A6	0.027
SLC28A1	0.0
SLCO3A1	17.3135
SLIT3	24.4257
SLITRK6	0.2282
SMLR1	0.016
SORCS2	7.7563
SPACA7	0.0
SPATA17	1.5308
SPATA20	29.5154
SPHKAP	0.0
SPTBN5	0.6175
SSC5D	11.8761
SSTR4	0.0
SSUH2	1.2495
STAU2	25.6615
SYTL2	34.4061
TACR2	0.4494
TAF3	6.9145
TBC1D17	23.6092
TERB1	0.0
TG	0.1128
TNR	0.1628
TNRC6A	15.4121
TPTE	0.0185
TRAFD1	41.5601
TRHDE	0.3931
TRPM3	0.4414
TSR1	29.2862
TTN	0.1693
TUFT1	4.0135
UGT3A1	0.0
UNC80	1.4328
UNC93A	0.0
UPF1	36.8469
USH2A	0.0109
USP34	21.7656
VEGFC	10.3271
VSTM4	10.1378
VWDE	0.0242
WDHD1	6.9843
XIRP1	0.2924
ZC3H4	13.2044
ZDHHC11	0.2071
ZNF474	0.1328
ZNF615	3.7033
ZNF670	1.8154
ZNF786	5.2532
ZNF790	3.8305
ZNF845	4.8226
